1.857944974959861717e-01,1.143396472066196962e-01
1.707491615790359130e-01,1.125691668842043053e-01
1.826047086345238268e-01,1.032442605224970500e-01
1.883814733930169183e-01,1.103139433065868924e-01
1.610102662057348588e-01,1.117086383611777117e-01
1.681780058263407096e-01,1.102801694122340914e-01
1.666956607094500498e-01,1.126936870683832720e-01
1.690284229858414478e-01,1.122257365046524097e-01
1.700327390766677160e-01,1.162595240625551168e-01
1.612268429271774273e-01,1.140737629037924250e-01
1.653827181050326889e-01,1.178822468863005568e-01
1.650320413415862497e-01,1.174755103699256370e-01
1.677480411436635954e-01,1.168864425510795363e-01
