# Undirected graph (each unordered pair of nodes is saved once): input/1953_edges.txt
# Nodes: 195 Edges: 1893
# NodeId	NodeId
17133	17316
17133	18862
3083	5167
3083	10645
3083	20281
3817	3843
3817	4376
3817	4618
3817	5261
3817	6124
3817	6206
3817	6289
3817	7363
3817	8150
3817	8824
3817	9218
3817	9448
3817	10047
3817	10611
3817	11613
3817	12042
3817	12573
3817	12687
3817	12689
3817	14001
3817	15209
3817	15297
3817	15462
3817	16166
3817	16598
3817	18155
3817	19104
3817	21920
3817	24782
3817	25517
3817	25852
3283	3843
3283	4618
3283	4730
3283	5988
3283	6124
3283	6206
3283	6289
3283	6987
3283	9218
3283	10515
3283	12689
3283	16598
3283	21617
3283	25517
9568	15184
9568	15559
15559	17234
1607	4062
1607	5988
1607	8317
1607	12689
1607	15462
1607	19825
1607	21950
17726	18155
1780	3240
1780	6124
1780	9293
1780	11645
1780	12775
1780	15462
1780	38121
6919	7363
6919	8317
6919	9218
6919	9939
6919	10611
6919	11052
6919	14001
6919	15297
6919	16598
6919	18693
6919	21617
6919	24782
19798	24101
2310	2375
2310	2657
2310	2946
2310	2964
2310	3283
2310	4062
2310	4376
2310	4618
2310	5537
2310	6206
2310	6289
2310	6987
2310	7363
2310	8215
2310	8317
2310	9218
2310	9939
2310	11052
2310	14001
2310	15297
2310	16598
2310	17316
2310	19104
2310	19825
2310	21617
2310	22316
2310	24782
60	183
60	2284
60	4062
60	8317
60	9028
60	9448
60	10433
60	19825
60	22316
60	28336
3761	3817
3761	3843
3761	4376
3761	5261
3761	6124
3761	6206
3761	6289
3761	7363
3761	8150
3761	8317
3761	8824
3761	9218
3761	10047
3761	10611
3761	11613
3761	12042
3761	12233
3761	12573
3761	12687
3761	12689
3761	14001
3761	15209
3761	16166
3761	16598
3761	18155
3761	21920
3761	21950
3761	24782
3761	25517
3761	25852
3761	38390
9939	10611
9939	10853
9939	11372
9939	16598
9939	19104
9939	21617
9939	24782
1162	2946
1162	3761
1162	3817
1162	3843
1162	4618
1162	5261
1162	5988
1162	6124
1162	6206
1162	7363
1162	8150
1162	9218
1162	10047
1162	10611
1162	11613
1162	12042
1162	12573
1162	12687
1162	12689
1162	14001
1162	15209
1162	15297
1162	15462
1162	16166
1162	16598
1162	18155
1162	21920
1162	25517
6580	17316
7208	8775
7208	9645
7208	13354
7208	13939
7208	14271
7208	14851
7208	15536
7208	17303
7208	17491
7208	18485
7208	25744
7208	26921
10143	10853
10143	13939
10143	15903
10143	17303
4283	4376
4283	4730
4283	6987
4283	8260
4283	8775
4283	10515
4283	10946
4283	11372
4283	14271
4283	15184
4283	17303
4283	17316
4283	36896
10110	11645
10110	11840
10110	12370
10110	15372
10110	17637
10110	17909
10110	18338
10110	19798
10110	30727
10110	39484
3878	4880
3878	5148
3878	5905
3878	6990
3878	7207
3878	8030
3878	8567
3878	10044
3878	10110
3878	11645
3878	11840
3878	12370
3878	15372
3878	17637
3878	17909
3878	18338
3878	19549
3878	24101
3878	30727
3878	38121
3878	39484
4880	5148
4880	5905
4880	6990
4880	7207
4880	8030
4880	8567
4880	8897
4880	9098
4880	10110
4880	11645
4880	11840
4880	12370
4880	15372
4880	17637
4880	17909
4880	18338
4880	19798
4880	39628
2303	4161
2303	8260
2303	8775
2303	9645
2303	10515
2303	11372
2303	13082
2303	13825
2303	14148
2303	17303
2303	17491
2303	20798
183	2222
183	4062
183	4376
183	8317
183	10047
183	16166
183	21617
183	22316
183	24782
183	25852
11613	12573
11613	12687
11613	14001
11613	15209
11613	15462
11613	16166
11613	16297
11613	18155
11613	21617
11613	21920
11613	24782
11613	25517
11613	25852
11613	38390
3587	8862
3587	15025
3587	16607
3587	17234
6990	7207
6990	8030
6990	8567
6990	8897
6990	10044
6990	10110
6990	11645
6990	11840
6990	12370
6990	12737
6990	17637
6990	17909
6990	18338
6990	19549
6990	19798
6990	20472
6990	24101
6990	30727
6990	38121
6990	39628
17303	17491
17303	19825
17303	20798
18693	21920
18693	21950
18693	24782
4161	4283
4161	5159
4161	6297
4161	7208
4161	8775
4161	10946
4161	13354
4161	13939
