# Undirected graph (each unordered pair of nodes is saved once): input/1974_edges.txt
# Nodes: 1984 Edges: 43556
# NodeId	NodeId
15058	18659
15058	19261
15058	19386
15058	19850
15058	21186
15058	23888
15058	26421
15058	28913
15058	29608
15058	41983
15058	44653
35900	42410
31104	33505
31104	34032
6987	8215
6987	8317
6987	9448
6987	9904
6987	9939
6987	10611
6987	10853
6987	11052
6987	12042
6987	12100
6987	13280
6987	16536
6987	17316
6987	17435
6987	19825
6987	21590
6987	22316
6987	28060
24529	24990
24529	30389
24529	33192
24529	34972
24529	37203
24529	38746
4894	4954
4894	5601
4894	10089
4894	10845
4894	11577
4894	11975
4894	12642
4894	14116
4894	17922
4894	17926
4894	19741
4894	23068
4894	24401
4894	29866
4894	30581
32683	32838
32683	36308
17865	18522
17865	19802
17865	20697
17865	21476
17865	25322
17865	26158
17865	26398
17865	26670
17865	26895
17865	27087
17865	29516
17865	31212
17865	41983
6511	6541
6511	6675
6511	7391
6511	7737
6511	8566
6511	8662
6511	8823
6511	9311
6511	9502
6511	9584
6511	9617
6511	9824
6511	9905
6511	9932
6511	9950
6511	10402
6511	10614
6511	11003
6511	11185
6511	12333
6511	12766
6511	12988
6511	13058
6511	13103
6511	13921
6511	13968
6511	14126
6511	14237
6511	14342
6511	14652
6511	15681
6511	16282
6511	16780
6511	17288
6511	17701
6511	18981
6511	19703
6511	20576
6511	22132
6511	24612
6511	25512
6511	25862
6511	25962
6511	27925
6511	28962
6511	29608
6511	30090
6511	31748
6511	34318
23888	26340
23888	27860
23888	28680
23888	29017
23888	29040
23888	30933
23888	31938
23888	33537
23888	39389
23888	39953
23888	41983
14965	19272
14965	20905
14965	21060
14965	22671
14965	24977
14965	27371
14965	29040
14965	30674
14965	33182
14965	34160
14965	38633
4802	6992
4802	7367
4802	8473
4802	12375
4802	14126
4802	14410
4802	16166
4802	18565
4802	19277
4802	19600
4802	20471
4802	25752
4802	28962
4133	4161
4133	4218
4133	4473
4133	4713
4133	4813
4133	4984
4133	5762
4133	5829
4133	6075
4133	6284
4133	6317
4133	7778
4133	8082
4133	8313
4133	8370
4133	8518
4133	8890
4133	9327
4133	9391
4133	10098
4133	10736
4133	12481
4133	13187
4133	13491
4133	14782
4133	14949
4133	14965
4133	15159
4133	17384
4133	17886
4133	18787
4133	19480
4133	23278
4133	27371
4133	31837
4133	32171
4133	34867
4133	38633
5119	5639
5119	5731
5119	5762
5119	6021
5119	7373
5119	8654
5119	8969
5119	9185
5119	10168
5119	10402
5119	10477
5119	10546
5119	10822
5119	10866
5119	10914
5119	11323
5119	11765
5119	11846
5119	11858
5119	11863
5119	11890
5119	11994
5119	12110
5119	13065
5119	13253
5119	13968
5119	14027
5119	14227
5119	14237
5119	15369
5119	17540
5119	17704
5119	20334
5119	20502
5119	20576
5119	23179
5119	26272
5119	26403
5119	26647
5119	27382
5119	29316
5119	29608
5119	31855
5119	33494
5119	34867
4337	4447
4337	4710
4337	5837
4337	8351
4337	8976
4337	9023
4337	9430
4337	11055
4337	12410
4337	12726
4337	13159
4337	15025
4337	15559
4337	19612
4337	28393
4337	28517
4337	29516
3986	3994
3986	4111
3986	4157
3986	4218
3986	4505
3986	4655
3986	4713
3986	4823
3986	5045
3986	5213
3986	5395
3986	5734
3986	6075
3986	6148
3986	6230
3986	6317
3986	6444
3986	6800
3986	7778
3986	8370
3986	8655
3986	8715
3986	8889
3986	9073
3986	9085
3986	9391
3986	9585
3986	9742
3986	9828
3986	9851
3986	9951
3986	10098
3986	10264
3986	10348
3986	10358
3986	10429
3986	10605
3986	10617
3986	10650
3986	10924
3986	11330
3986	11562
3986	11565
3986	11641
3986	11965
3986	11994
3986	12064
3986	12524
3986	12901
3986	12996
3986	13236
3986	13491
3986	13719
3986	13801
3986	14192
3986	14271
3986	14811
3986	14826
3986	14949
3986	14994
3986	15159
3986	15868
3986	16300
3986	16355
3986	16786
3986	17593
3986	17761
3986	18279
3986	18360
3986	18430
3986	18845
3986	20130
3986	20668
3986	21060
3986	22413
3986	22603
3986	22671
3986	22827
3986	24990
3986	25349
3986	26291
3986	26647
3986	27009
3986	27306
3986	27368
3986	28947
3986	29316
3986	31755
3986	32063
3986	33668
3986	33908
3986	34160
3986	35072
3986	35999
3986	38576
3986	40722
3986	41592
3986	44356
14376	14429
14376	14732
14376	14949
14376	15915
14376	15970
14376	16091
14376	16300
14376	16355
14376	16570
14376	16603
14376	16786
14376	17124
14376	17593
14376	17820
14376	17893
14376	18279
14376	18787
14376	19449
14376	20539
14376	20557
14376	20655
14376	20668
14376	20753
14376	21151
14376	21536
14376	22603
14376	22753
14376	23278
14376	24599
14376	24765
14376	24990
14376	27090
14376	28636
14376	29141
14376	30389
14376	33192
14376	34586
14376	35568
14376	35767
14376	36029
10235	13444
10235	14629
10235	18113
10235	18812
10235	19798
10235	20509
10235	23461
10235	26230
10235	27844
