# Undirected graph (each unordered pair of nodes is saved once): input/1998_edges.txt
# Nodes: 9907 Edges: 243720
# NodeId	NodeId
14533	15871
14533	17365
14533	18287
14533	20039
14533	20689
14533	20929
14533	22216
14533	22218
14533	22919
14533	25611
14533	25945
14533	26651
14533	26926
14533	29883
14533	30033
14533	31042
14533	31491
14533	36758
14533	38150
14533	38168
14533	40838
21627	21889
21627	22349
21627	23916
21627	25298
21627	26386
21627	27114
21627	27460
21627	28215
21627	28710
21627	28844
21627	28938
21627	31309
21627	32012
21627	32228
21627	32353
21627	33294
21627	35274
21627	38364
21627	38914
21627	40425
21627	40992
21627	41008
21627	43546
17378	17643
17378	20632
17378	20778
17378	21843
17378	25817
17378	27120
17378	27839
17378	30469
17378	32078
17378	32863
2300	2315
2300	2461
2300	3405
2300	6046
2300	9464
2300	9982
2300	10948
2300	11228
2300	12572
2300	15212
2300	20387
2300	31720
7633	7801
7633	7976
7633	8117
7633	8330
7633	8373
7633	8496
7633	9310
7633	9494
7633	9841
7633	10030
7633	10145
7633	10905
7633	10954
7633	11198
7633	11689
7633	11768
7633	12801
7633	12815
7633	14936
7633	18287
7633	18755
7633	19070
7633	20321
7633	21854
7633	23325
7633	25176
7633	25611
7633	25619
7633	26330
7633	26813
7633	27016
7633	27572
7633	29883
7633	31042
7633	32814
7633	37458
7633	41673
5815	7084
5815	7217
5815	7625
5815	7854
5815	8288
5815	8473
5815	9045
5815	9230
5815	10148
5815	10732
5815	10922
5815	12602
5815	13922
5815	14726
5815	16555
5815	17701
5815	17749
5815	19565
5815	21781
5815	29892
5815	35288
5815	36268
5815	40421
5815	40774
14256	23857
14256	27228
14256	34081
14256	34256
14256	37659
14256	39630
31104	33505
31104	34032
31104	35811
31104	38253
17469	18449
17469	18516
17469	19155
17469	20127
17469	22516
17469	23818
17469	24865
17469	25097
17469	26896
17469	30319
17469	34495
17469	39280
17469	40546
1970	4917
1970	5199
1970	5346
1970	6479
1970	8125
1970	8844
1970	9223
1970	10968
1970	13627
1970	17272
1970	17599
1970	17748
1970	18120
1970	20387
1970	21328
1970	21872
1970	24708
1970	28723
1970	29788
1970	30698
1970	33511
2063	2237
2063	2275
2063	2738
2063	2960
2063	4891
2063	5783
2063	6007
2063	6142
2063	6656
2063	8749
2063	9122
2063	10643
2063	10871
2063	10948
2063	11226
2063	11285
2063	11558
2063	11992
2063	12556
2063	12989
2063	14370
2063	14778
2063	15056
2063	15555
2063	15828
2063	16605
2063	18137
2063	18295
2063	18408
2063	18723
2063	19638
2063	21459
2063	22077
2063	24206
2063	24316
2063	24628
2063	25359
2063	29451
2063	32718
2063	37631
2063	42141
11833	15203
11833	15768
11833	15890
11833	16226
11833	16670
11833	17782
11833	17848
11833	18997
11833	19523
11833	20020
11833	20186
11833	20348
11833	21361
11833	21789
11833	23422
11833	24230
11833	24499
11833	27016
11833	27599
11833	27832
11833	29066
11833	31024
11833	31175
11833	32814
11833	32935
11833	36196
8870	9065
8870	9629
8870	10392
8870	10548
8870	11418
8870	11654
8870	11830
8870	11984
8870	12712
8870	13125
8870	15099
8870	15113
8870	15284
8870	16458
8870	16673
8870	17978
8870	18062
8870	18361
